Gif,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Confusion,Contempt,Craving,Disappointment,Disgust,Empathic Pain,Entrancement,Envy,Excitement,Fear,Guilt,Horror,Interest,Joy,Nostalgia,Pride,Relief,Romance,Sadness,Satisfaction,Sexual Desire,Surprise,Sympathy,Triumph
1453.mp3,39.9545,15.8182,0,3.2727,0,0,15.5455,0,0,0,8.9545,0,0,0,0,0,0,0,0,0,0,0,0,25,0,9.0909,9.0909,0,0,14.2727,0,17.6818,8.6364,4.1364
1454.mp3,0,0,0,35.4091,0,22.8636,0,0,0,0,4.1364,0,0,0,0,0,0,0,4.1818,18.1818,0,5.5909,11.2273,7.5455,0,0,0,0,0,0,0,12,0,0
1455.mp3,0,0,12.9091,4.6364,0,0,2.5909,0,12.5455,0,0,0,0,0,0,0,0.090909,0,0,0,0,0,16.1818,0,12.4545,0,0,0,6.0909,8.6364,0,0,0,0
1456.mp3,0,7.2727,0,60.8636,0,0,5.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.5455,4.4091,0,0,0,0,0,14.4545,0,12.7273,4.2273,0
1457.mp3,0,0,0,0,0,0,8.9091,0,0,0,4.2727,0,0,4.5455,2.4091,0,0,0,24.7727,0,0,6.6364,4.5455,0,0,0,0,0,8.4545,0,0,40.5,0,0
1458.mp3,0,0,0,42.7273,0,0,0,0,18.0909,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5455,0,0,0,0,0,0,0,0,0
1459.mp3,10.3636,0,0,24.6364,0,0,7.7727,0,4.5455,0,0,0,0,0,0,0,0,0,4.2727,0,0,0,0,0,0,0,2.2727,0,0,13.4545,0,27.6364,6.2727,6.4091
1460.mp3,0,9.3182,8.9091,0,0,0,0,0,9.0909,8.3182,0,0,5.0909,0,0,0,0,0,0,0,0,0,0,3.6364,15.3182,0,0,56.9545,0,0,0,0,0,0
1461.mp3,0,0,0,56.0909,2.0909,0,1.5,0,0,0,6.5455,0,0,6.0909,8.9091,0,0,0,4.4091,0,0,0,9.1818,0,0,0,0,0,5.6364,0,0,12.6364,12.0909,0
1462.mp3,0,0,0,45.5909,0,0.36364,0,4.5455,0,0,33.1818,0,0,0,5.6364,0,0,0,0,0,0,0,0,6.7273,0,0,0,0,0,0,0.77273,3.4091,0,0
1463.mp3,7.7273,18.9091,0,35.7273,0,0,27.2727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.4091,4.2273,0,0,0,0,0,8.9091,0,14.6364,0,0
1464.mp3,0,0,0,0,12.2273,8.4545,0,5.7273,0,0,8.7273,0,0,0,15.2273,9.0909,0,0,0,26.4545,0,52.9545,0,0,0,0,0,0,31.9091,0,0,19.5909,16.9545,0
1465.mp3,4.5455,40.3182,0,18.6364,0,0,16.6364,0,0,0,3.7273,0,0,0,0,0,0,0,0,0,0,0,0,21.2727,0,0,0,0,0,8.9091,0,4.1818,0,0
