Gif,Admiration,Adoration,Aesthetic Appreciation,Amusement,Anger,Anxiety,Awe,Awkwardness,Boredom,Calmness,Confusion,Craving,Disgust,Empathic Pain,Entrancement,Excitement,Fear,Horror,Interest,Joy,Nostalgia,Relief,Romance,Sadness,Satisfaction,Sexual Desire,Surprise
0023.mp4,-0.035176,-0.055647,0.34061,-0.20238,-0.016421,-0.064514,-0.022748,-0.022113,-0.039666,-0.034155,-0.060116,-0.017087,-0.084889,-0.028598,0.20931,-0.048208,-0.076857,-0.063276,0.2226,-0.078279,-0.029539,-0.018374,-0.027527,-0.060053,0.036153,-0.048726,-0.0058978
0024.mp4,-0.0018831,0.019606,-0.083528,-0.12745,0.064847,-0.059778,-0.11275,-0.041454,-0.058909,-0.035586,0.18364,-0.030563,-0.096243,0.10983,-0.045794,-0.040668,-0.0090409,0.11337,-0.11517,-0.0015022,-0.036817,0.13536,-0.03686,0.19335,0.047687,-0.056911,0.074584
0025.mp4,-0.057937,-0.060131,-0.079327,-0.20728,-0.020044,0.51402,-0.11085,0.054699,-0.048962,-0.039515,-0.064385,-0.025478,-0.089811,-0.033131,0.20173,0.038597,0.66853,-0.064461,-0.11632,-0.082838,-0.034255,0.061539,-0.037061,-0.059609,-0.037998,-0.054092,-0.092815
0026.mp4,-0.033744,0.026479,0.58969,-0.2034,-0.023926,0.018061,0.14277,-0.023048,-0.04134,0.29833,-0.060881,-0.018456,-0.086092,-0.029679,0.20792,0.035844,-0.077827,-0.063707,-0.11181,0.087302,-0.030506,0.063203,-0.027751,-0.059088,0.20426,-0.050184,-0.089932
0027.mp4,-0.056282,-0.055714,-0.07584,0.37699,-0.095268,-0.095642,-0.11504,0.13126,-0.056039,-0.057136,-0.067383,-0.035637,-0.090162,0.31958,-0.066931,-0.062637,0.10085,-0.08961,-0.12266,-0.090262,-0.039518,0.026048,-0.039499,0.19209,-0.012781,-0.060454,0.14535
0028.mp4,-0.053014,-0.059893,-0.079346,-0.20683,-0.0043195,0.019576,-0.10965,-0.027001,-0.046266,-0.035399,0.26995,-0.022412,0.74382,0.12357,-0.04399,-0.04272,0.16622,0.19006,-0.11406,-0.081071,-0.032537,-0.028443,-0.033867,-0.052511,-0.044105,-0.052356,-0.090368
0029.mp4,-0.048929,-0.056583,0.33985,0.12951,-0.017531,-0.06603,0.39218,-0.023472,-0.042479,-0.035206,-0.061046,-0.017991,-0.086369,-0.029577,-0.042795,0.20268,-0.077884,-0.063683,0.13795,0.0038127,-0.030448,-0.018908,-0.025351,-0.052097,0.038729,-0.050395,0.076056
0030.mp4,-0.05697,-0.060222,-0.07916,-0.12409,-0.024455,0.097197,-0.11115,-0.028544,-0.049064,-0.039634,0.10222,-0.024554,0.74325,-0.032659,-0.048619,-0.044593,0.16853,0.10188,-0.11643,-0.0831,-0.034334,-0.022191,-0.033719,-0.049569,-0.037873,0.029047,0.157
0031.mp4,-0.04383,-0.057103,-0.077297,-0.10482,0.084136,0.23056,-0.10769,-0.029288,0.052756,-0.037782,0.036886,-0.021065,0.01361,-0.030733,-0.044538,-0.046943,-0.078627,0.037493,0.086649,-0.080066,-0.032,0.090037,-0.03071,-0.059816,-0.038742,-0.050891,0.20682
0032.mp4,0.29401,-0.070279,0.016068,0.20281,-0.012645,-0.059332,0.20492,0.067905,0.061829,-0.038297,0.039104,-0.024735,-0.083153,-0.026523,-0.032615,-0.049215,-0.076895,-0.064685,0.089118,-0.082197,-0.039343,-0.028261,-0.033634,-0.054036,0.16344,-0.053613,0.014954
